hostname,worker_id,start_time,stop_time,nSuccesses
andes176.olcf.ornl.gov,Worker-c0874b9e-520a-4180-97a2-ce4bf423585a,1666123006.6869152,1666123006.8334785,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm14G085100.1/model_2_ptm_20211001_159260.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm11G074700.1/model_1_ptm_20211001_981646.pdb
andes176.olcf.ornl.gov,Worker-a5e8db90-5183-4459-a711-f53308e0fb13,1666123006.664283,1666123006.8344145,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm02G139400.1/model_2_ptm_20211001_880826.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm04G074300.1/model_4_ptm_20211001_211147.pdb
andes176.olcf.ornl.gov,Worker-5172df60-aec8-4cc1-bc10-a7da36c5bb58,1666123006.6521556,1666123006.8355958,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm10G037400.1/model_1_ptm_20211001_832780.pdb
andes176.olcf.ornl.gov,Worker-4633ab34-59ec-48c1-a9d9-9cc71d9506fd,1666123006.6525729,1666123006.8398418,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm04G074300.1/model_4_ptm_20211001_211147.pdb
andes176.olcf.ornl.gov,Worker-0fade233-7a7a-4289-822c-7feaec6b1e1e,1666123006.6611803,1666123006.8473294,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm03G126700.1/model_3_ptm_20211001_809623.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm14G085100.1/model_2_ptm_20211001_159260.pdb
andes176.olcf.ornl.gov,Worker-e9527562-38af-4ce5-92cf-6d914d43b5f3,1666123006.6521552,1666123006.8518403,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb
andes176.olcf.ornl.gov,Worker-ab564896-9695-4a0f-920c-f124f6a3e596,1666123006.663847,1666123006.8554642,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm11G074700.1/model_1_ptm_20211001_981646.pdb
andes176.olcf.ornl.gov,Worker-483dec33-2e3c-4e74-b761-de847e94db4b,1666123006.6629126,1666123006.8566794,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm14G085100.1/model_2_ptm_20211001_159260.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm03G126700.1/model_3_ptm_20211001_809623.pdb
andes176.olcf.ornl.gov,Worker-5b54b499-2fb4-4535-970e-6ac5f5491f8b,1666123006.6611743,1666123006.8581796,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm02G139400.1/model_2_ptm_20211001_880826.pdb
andes176.olcf.ornl.gov,Worker-4511f95e-0361-4365-82fe-063807afe23d,1666123006.6555197,1666123006.8611248,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm02G139400.1/model_2_ptm_20211001_880826.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm14G085100.1/model_2_ptm_20211001_159260.pdb
andes176.olcf.ornl.gov,Worker-12a1a8ba-f974-4af4-8434-e4b5f8c86557,1666123006.6627495,1666123006.8649185,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm02G139400.1/model_2_ptm_20211001_880826.pdb
andes176.olcf.ornl.gov,Worker-f1a412fa-2ba4-4dc2-8228-86e13637b89b,1666123006.6611502,1666123006.8711853,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm14G085100.1/model_2_ptm_20211001_159260.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb
andes176.olcf.ornl.gov,Worker-f404d7a0-9e8c-46bd-be65-3808785c9740,1666123006.6517658,1666123006.880044,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb
andes176.olcf.ornl.gov,Worker-118dc0bc-3a07-402c-92e3-d5f8191f3b4e,1666123006.7348065,1666123006.8856926,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm11G074700.1/model_1_ptm_20211001_981646.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm10G037400.1/model_1_ptm_20211001_832780.pdb
andes176.olcf.ornl.gov,Worker-456111c1-acb8-489b-afc8-505b043dda29,1666123006.66299,1666123006.8869886,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm18G064200.1/model_5_ptm_20211001_473738.pdb
andes176.olcf.ornl.gov,Worker-8f04f0fe-c94d-43d5-8975-0038f743ba83,1666123006.6763825,1666123006.890326,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm12G016500.1/model_1_ptm_20211001_114880.pdb
andes176.olcf.ornl.gov,Worker-728f931d-8bb6-4d1e-89ed-6a2d5e7aae3c,1666123006.7978094,1666123006.8929875,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm20G019500.1/model_5_ptm_20211001_627857.pdb
andes176.olcf.ornl.gov,Worker-2f6540fe-7ef9-427e-94e4-8fd3f0f9f901,1666123006.7883196,1666123006.8952172,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm14G085100.1/model_2_ptm_20211001_159260.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G131400.1/model_2_ptm_20211001_589071.pdb
andes176.olcf.ornl.gov,Worker-02e15f40-e795-4da2-8ec0-d803b6f9d05d,1666123006.6699603,1666123006.9035769,/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm05G037300.1/model_1_ptm_20211001_682319.pdb_/gpfs/alpine/bif135/world-shared/species/smagellanicum/af_mod/Sphm03G126700.1/model_3_ptm_20211001_809623.pdb
